日期Date,指数代码Index Code,指数中文全称Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称English Name(Full),指数英文简称Index English Name,市盈率1（总股本）P/E1,市盈率2（计算用股本）P/E2,股息率1（总股本）D/P1,股息率2（计算用股本）D/P2
20260519,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.97,17.46,2.54,2.29
20260518,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.89,17.39,2.56,2.3
20260515,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.96,17.49,2.55,2.29
20260514,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.1,17.68,2.52,2.26
20260513,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.3,17.98,2.49,2.22
20260512,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.21,17.8,2.5,2.25
20260511,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.23,17.81,2.5,2.25
20260508,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.05,17.52,2.53,2.28
20260507,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.13,17.63,2.52,2.27
20260506,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.12,17.55,2.52,2.28
20260505,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.46,18.09,2.54,2.31
20260504,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.46,18.09,2.54,2.31
20260430,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.46,18.09,2.54,2.31
20260429,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.52,18.15,2.58,2.3
20260428,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.41,17.96,2.6,2.32
20260427,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.41,18.01,2.6,2.32
20260424,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.42,18.0,2.6,2.32
20260423,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.47,18.08,2.59,2.31
20260422,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.46,18.12,2.59,2.3
20260421,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.41,18.0,2.6,2.32
